Year,State,County,HAI,Operative_Procedure,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Procedure_Count,Infections_Reported,Infections_Predicted,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Notes
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA,,,,,635885,3711,4331.08,0.86,0.83,0.89,Better,No,0.62,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Abdominal aortic aneurysm repair,,,,,236,0,1.61,0,0,1.87,Same,Yes,1.07,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Appendix surgery,,,,,27959,71,113.45,0.63,0.49,0.79,Better,Yes,0.98,
2022,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Bile duct, liver or pancreatic surgery",,,,,9402,218,241.61,0.9,0.79,1.03,Same,No,0.97,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cardiac surgery,,,,,13876,46,57.39,0.8,0.59,1.06,Same,No,1.35,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Cesarean section,,,,,116164,188,230.03,0.82,0.71,0.94,Better,No,0.88,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Colon surgery,,,,,29211,717,781.15,0.92,0.85,0.99,Better,No,1.07,
2022,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest and donor incisions",,,,,12855,68,101.96,0.67,0.52,0.84,Better,Yes,0.98,
2022,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Coronary bypass, chest incision only",,,,,1654,5,12.69,0.39,0.14,0.87,Better,Yes,0.9,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Exploratory abdominal surgery (laparotomy),,,,,45220,257,271.7,0.95,0.84,1.07,Same,No,0.97,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gallbladder surgery,,,,,48371,184,190.03,0.97,0.84,1.12,Same,No,0.95,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Gastric surgery,,,,,20797,139,153.24,0.91,0.77,1.07,Same,No,0.99,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Heart transplant,,,,,458,3,4.57,0.66,0.17,1.79,Same,Yes,0.33,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Hip prosthesis,,,,,37948,233,249.01,0.94,0.82,1.06,Same,No,0.98,
2022,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, abdominal",,,,,18655,107,144.35,0.74,0.61,0.89,Better,No,1.03,
2022,California,,Surgical Site Infections (SSI),"STATE OF CALIFORNIA POOLED DATA - Hysterectomy, vaginal",,,,,2230,22,12.4,1.78,1.14,2.64,Worse,No,0.95,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney surgery,,,,,6969,28,23,1.22,0.83,1.74,Same,No,0.97,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Kidney transplant,,,,,2577,19,15.47,1.23,0.76,1.88,Same,No,0.79,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Knee prosthesis,,,,,42353,159,165.61,0.96,0.82,1.12,Same,No,0.89,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Laminectomy,,,,,34146,72,122,0.59,0.47,0.74,Better,Yes,0.97,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Liver transplant,,,,,994,25,50.8,0.49,0.33,0.72,Better,Yes,0.67,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Open reduction of fracture,,,,,39011,262,297.93,0.88,0.78,0.99,Better,No,1.01,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Ovarian surgery,,,,,14745,12,11.21,1.07,0.58,1.82,Same,No,0.95,
2022,California,,Surgical Site Infections (SSI),STATE OF CALIFORNIA POOLED DATA - Pacemaker surgery,,,,,15480,23,26.76,0.86,0.56,1.27,Same,No,0.87,
